sl,roll,sem,year,sub_code,total_credits,credit_obtained,timestamp,sub_type
39020,1301EE34,3,2014,CS201,9,,11/17/2014 22:31:43:013,CORE
39021,1301EE34,3,2014,EE200,6,,11/17/2014 22:31:43:013,CORE
39022,1301EE34,3,2014,EE201,6,,11/17/2014 22:31:43:013,CORE
39023,1301EE34,3,2014,EE202,3,,11/17/2014 22:31:43:013,CORE
39024,1301EE34,3,2014,EE220,8,,11/17/2014 22:31:43:013,CORE
39025,1301EE34,3,2014,MA201,8,,11/17/2014 22:31:43:013,CORE
40029,1301ME08,3,2014,CS201,9,,11/17/2014 22:31:43:013,CORE
40030,1301ME08,3,2014,HS241,6,,11/17/2014 22:31:43:013,HS Elective
40031,1301ME08,3,2014,MA201,8,,11/17/2014 22:31:43:013,CORE
40032,1301ME08,3,2014,ME201,6,,11/17/2014 22:31:43:013,CORE
40033,1301ME08,3,2014,ME204,6,,11/17/2014 22:31:43:013,CORE
40034,1301ME08,3,2014,ME205,8,,11/17/2014 22:31:43:013,CORE
40035,1301ME08,3,2014,ME211,4,,11/17/2014 22:31:43:013,CORE
